src_path	dest_path	size_bytes	sha256
/data/data/com.termux/files/home/vz_bgcap_run_15m.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/vz_bgcap_run_15m.sh	3018	5f550ca28255806c6cb8b96236bd0bb0c1dab6835ada88c5d1a311242b079879
/data/data/com.termux/files/home/vz_line_vs_device_extract.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/vz_line_vs_device_extract.sh	4968	67f97935d372430ebf5a108367bc1fa59aa479d7d5736e1210d7a262c689efdc
/data/data/com.termux/files/home/vz_core_manifest.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/vz_core_manifest.sh	1237	12a937c4af296f10d2b01b116ab5891716ff829b78eaa983bdefe1e4810ac461
/data/data/com.termux/files/home/pg_collect_ims_artifacts.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/pg_collect_ims_artifacts.sh	7120	9efb3a8631cb0aeae85007c57a77a6dadb7cfe2bad3b1b1d208cc38728cdf559
/data/data/com.termux/files/home/fix_IMS_AKA_layout_and_build.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/fix_IMS_AKA_layout_and_build.sh	1018	336fca0121f76bd99e90fae89917370a29b5663d933360219b36e8a02ae564cb
/data/data/com.termux/files/home/net-evidence.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/net-evidence.sh	5827	34b0e9b14bf99e57ace54a368a74cc5789d3ac5033c1ea711284ad1d5151950a
/data/data/com.termux/files/home/telereg-summarize.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/telereg-summarize.sh	1399	8ef65cf65ec5bd9e3fc7f919e680132c19ec57532182ec6489867589697cb9c1
/data/data/com.termux/files/home/vz_hits_only.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/vz_hits_only.sh	2463	6e1ed57c5f4498d3c7927d2a63f8c9600823f214a8211e46ee1961bb8bdc0fe5
/data/data/com.termux/files/home/vz_wwan_capture_10m.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/vz_wwan_capture_10m.sh	1520	a4ca76198fc297ef50b5fa2a8e8753f6f90676a9f4e9a20c82fad8931c0f6590
/data/data/com.termux/files/home/vz_bgcap_stop.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/vz_bgcap_stop.sh	1064	f36231886d635a01eea22457fee619ff664c0da8b1bfa00f4beb53c2e5f3fda5
/data/data/com.termux/files/home/vz_extract_evidence.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/vz_extract_evidence.sh	1583	b7206b1b633b5c64e2f0e2cfe0e0f1d9bc7b19af4627877a3127fb1ac18baf00
/data/data/com.termux/files/home/vz_reject_auth_ims_report.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/vz_reject_auth_ims_report.sh	7029	a1d6c41b8549d57295f1562e012c1e72dff46f8c09c4f9a2c9b7283bf88caefc
/data/data/com.termux/files/home/vz_post_consolidation_sanity.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/vz_post_consolidation_sanity.sh	1808	d756408f69ba7ed5f096bf12d63532ebd15b74298951ea2be8d9b464cd018072
/data/data/com.termux/files/home/vz_bucket_counts.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/vz_bucket_counts.sh	1162	15dca26b0d0f72ce195e9026bf66d31316f14ab668b97cd0379ba725bce4f795
/data/data/com.termux/files/home/move_telecom_evidence_stage2.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/move_telecom_evidence_stage2.sh	2639	d60d629817ae6ae7369c023db02b410fce50f4e6c4a90fd93284f2a346daf075
/data/data/com.termux/files/home/verizon_net_collect.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/verizon_net_collect.sh	2121	92b32d5c20a0ace0c8f2879fc02054484fa1e30f20ed22cfdd849dd7b1646e38
/data/data/com.termux/files/home/verizon_fix_telereg_sha_and_reindex.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/verizon_fix_telereg_sha_and_reindex.sh	1126	f02941749013b57719c7fb5c3ef871124acd6e45fb73327a03e1a39c4a419fb9
/data/data/com.termux/files/home/verizon_discovery_scan.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/verizon_discovery_scan.sh	1622	5c5297ec1e6cc86d6fce842d02b6f71e4c71c79943d040e93da0d34449fb0cb1
/data/data/com.termux/files/home/verizon_global_discovery.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/verizon_global_discovery.sh	2629	fbf10a2c80f54643514ee701557472597740aa4fd126d2977bfccbac9b7e2dba
/data/data/com.termux/files/home/verizon_register_evidence.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/verizon_register_evidence.sh	1274	c00cb96f75a3d259654d915ed32e19b35917aaaaeb3d305f74067c84bb58b950
/data/data/com.termux/files/home/vz_consolidate_verizon_artifacts.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/vz_consolidate_verizon_artifacts.sh	4395	ad62ae92b7f21af98e4e954d5d707f9f0501eb7327a3eef88baaf45cc663ae70
/data/data/com.termux/files/home/normalize_use_this_directory_as_verizon_root_v2.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/normalize_use_this_directory_as_verizon_root_v2.sh	5288	12260d4674ca7ea01592d77a144a93ec6a3e75ef90b9498fb4b7e46eb5ce258d
/data/data/com.termux/files/home/check_remaining_verizon_outside_repo_and_use_this_directory.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/check_remaining_verizon_outside_repo_and_use_this_directory.sh	1003	3e53e4dc992105135f1c8f3133cfa87e87b6bf0b3a0e252cfc17744abd89cee7
/data/data/com.termux/files/home/lock_verizon_repo_allowlist.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/lock_verizon_repo_allowlist.sh	2212	9c564af4bcead49c14f160599996a75e3d0a9e01c294d83afb5e222f04a32116
/data/data/com.termux/files/home/vz_radio_ims_analyze.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/vz_radio_ims_analyze.sh	5238	4e85dd57b2fffb07d65defc2235cc828123c27ced078375d34a384185811357c
/data/data/com.termux/files/home/run_IMS_AKA_with_texlive.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/run_IMS_AKA_with_texlive.sh	1050	9676b4dfc60cb9f03163423b092941a46c9e83da8f5266776c03898a12801ef7
/data/data/com.termux/files/home/fix_IMS_AKA_pdf_build.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/fix_IMS_AKA_pdf_build.sh	1481	2f65e5c7b686bc4aa68c93a55110c9062b87737f3c8dfeb8e954c5043fafa359
/data/data/com.termux/files/home/register_verizon_net_bundle.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/register_verizon_net_bundle.sh	1640	94ae52938564aaf3c2ea903c768a87806a5668433d69049315db08f7ff2e2f23
/data/data/com.termux/files/home/register_verizon_text_and_case.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/register_verizon_text_and_case.sh	2746	2dd5517e42d712f47e036789eac2846e8af80e6516375e90c3cd087703e69cc0
/data/data/com.termux/files/home/verizon_show_index.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/verizon_show_index.sh	356	7f61c4db847149a5d0dc60af835bb3341645966ce9e45cfa58b97afdb4ff914a
/data/data/com.termux/files/home/verizon_finalize_global_discovery.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/verizon_finalize_global_discovery.sh	3508	c3d08c8aef401eb509e08b67989f3ace80fd4b192879c7a8d61237409907a74a
/data/data/com.termux/files/home/inspect_verizon_net_evidence.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/inspect_verizon_net_evidence.sh	1480	8067048496449f98cf26126b964e9d0d2d11d8d1ec857505dd7cb00c3ffe768c
/data/data/com.termux/files/home/build_verizon_repo_bundle.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/build_verizon_repo_bundle.sh	1513	195303914350b94fe094eb94cf45a2e16541dc503ee9b2b13521cadaf0641e7b
/data/data/com.termux/files/home/normalize_use_this_directory_as_verizon_root.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/normalize_use_this_directory_as_verizon_root.sh	5090	145fca135fb7a27703e2a632f79d52d7b69467505841a57f08efe67f9f11a3c6
/data/data/com.termux/files/home/move_verizon_repo_to_termux_home.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/move_verizon_repo_to_termux_home.sh	1499	d2c11933f70e07aedd7196d2069a3f2d31197a0338aeb74ae4eb5751bc319520
/data/data/com.termux/files/home/import_verizon_scripts_into_repo.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/import_verizon_scripts_into_repo.sh	1908	5745a55309096e19dbc382f8306568d696fb599973c4fb8369d939b4d5dc2cb4
/data/data/com.termux/files/home/move_telecom_evidence.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/move_telecom_evidence.sh	3887	43134a81ccafacc80c75edb8dc462b51b134d533a3a6199a5f7099112047e25d
/data/data/com.termux/files/home/vz_build_public_case.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/vz_build_public_case.sh	4850	3c098fa1835d64795c7ead8cc1a35fa33125302e60f7873991dd23cebe4b8718
/data/data/com.termux/files/home/vz_git_fix_remote_and_push.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/vz_git_fix_remote_and_push.sh	863	ee30d2195b7ca3969c03a9e53284fb95d2f24a227d9c799a79bbd023ab9240ac
/data/data/com.termux/files/home/vz_git_reset_and_push.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/vz_git_reset_and_push.sh	1468	931477fb4c52d68e0ee30d619f9480a33d5cf5705c36fea8600ec39efdff8525
/data/data/com.termux/files/home/verizon_register_personal_docs.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/verizon_register_personal_docs.sh	964	fbcf92500a39bbf480a3ef66b62a8a5c0520bebaed26c2f10822d420ee6523f2
/data/data/com.termux/files/home/apply_verizon_repo_update.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/apply_verizon_repo_update.sh	8348	a1821c234e9a899acde5075c16db361bba47d5b61254e784ae27aefed9368c33
/data/data/com.termux/files/home/move_manifests_out_of_verizon_public_case.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/move_manifests_out_of_verizon_public_case.sh	559	b0c0ba05dbcad2fbae844ee70e194a3ca9e78062357eb5f5d7da202ebc2d04fb
/data/data/com.termux/files/home/patch_verizon_wifi_label_redaction.sh	/storage/emulated/0/Verizon_Public_Case/tools/intake_legacy_verizon_scripts_20260322T093043Z/patch_verizon_wifi_label_redaction.sh	2384	c3fffcf9cd345332dfde3f04becdbe333b17b15ba5d0086f20922c4216ba83db
